OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
3010,0075022,2004,110010075022004,110010075022004,11155,0,69,69,0,69,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,32,22,10,2.75626418,476.355248321053,11154.205378569,0.00430666
3011,0075022,2005,110010075022005,110010075022005,84303,0,370,361,0,361,0,0,0,0,9,9,1,0,3,0,361,0,0,0,0,6,6,1,0,256,0,251,0,0,0,0,5,5,0,0,2,0,251,0,0,0,0,3,3,0,0,131,114,17,20.82938856,1795.88312166126,84293.544864005,0.03254592
3012,0075022,2006,110010075022006,110010075022006,18740,0,98,92,0,92,0,0,0,0,6,0,0,0,6,0,92,0,0,0,0,0,0,0,0,76,0,73,0,0,0,0,3,0,0,0,3,0,73,0,0,0,0,0,0,0,0,39,39,0,4.63035778,643.465714313039,18738.3931351354,0.00723493
3013,0075022,2007,110010075022007,110010075022007,16139,0,131,145,0,142,2,1,0,0,1,1,0,0,1,0,141,2,1,0,0,1,1,0,0,141,0,137,2,1,0,0,1,1,0,0,1,0,136,2,1,0,0,1,1,0,0,123,131,8,3.98651479,619.168771086978,16132.8529901254,0.00622893
3014,0075022,2008,110010075022008,110010075022008,9178,0,43,43,0,42,0,1,0,0,0,0,0,0,2,0,40,0,1,0,0,0,0,0,0,26,0,25,0,1,0,0,0,0,0,0,1,0,24,0,1,0,0,0,0,0,0,16,15,1,2.26780537,376.375364398052,9177.48273537883,0.00354345
3015,0075022,2009,110010075022009,110010075022009,56156,0,485,474,9,462,0,3,0,0,11,7,2,0,8,7,458,0,3,0,0,9,6,2,0,340,9,319,0,3,0,0,9,5,2,0,8,7,315,0,3,0,0,7,4,2,0,256,218,38,13.87501064,1206.6283639092,56150.175925722,0.0216797
3016,0075031,1000,110010075031000,110010075031000,16992,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,4.19842295,543.26488674023,16990.4148632801,0.00656004
3017,0075031,1001,110010075031001,110010075031001,17020,0,30,29,1,28,0,0,0,0,1,1,0,0,0,1,28,0,0,0,0,1,1,0,0,20,1,18,0,0,0,0,1,1,0,0,0,1,18,0,0,0,0,1,1,0,0,15,13,2,4.20520664,540.880136057679,17017.8674987939,0.00657064
3018,0075031,1002,110010075031002,110010075031002,14455,0,56,54,4,50,0,0,0,0,2,0,0,2,0,4,50,0,0,0,0,2,0,0,2,37,4,31,0,0,0,0,2,0,0,2,0,4,31,0,0,0,0,2,0,0,2,25,22,3,3.57166908,490.291526766318,14454.0319474523,0.00558073
3019,0075031,1003,110010075031003,110010075031003,20826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14567627,819.682180315239,20823.8130465524,0.00804012
3020,0075031,1004,110010075031004,110010075031004,13482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33105572,471.880565047721,13480.3042222445,0.00520477
3021,0075031,1005,110010075031005,110010075031005,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72658566,326.806243213105,2940.38785592579,0.00113529
3022,0078081,1001,110010078081001,110010078081001,6015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48619337,368.85536043049,6014.41116965666,0.00232218
3023,0078081,1002,110010078081002,110010078081002,24085,0,60,60,2,58,0,0,0,0,0,0,0,0,1,1,58,0,0,0,0,0,0,0,0,34,2,32,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,0,0,0,22,16,6,5.9509473,953.359759547889,24082.6292935655,0.00929836
3024,0078081,1003,110010078081003,110010078081003,0,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41246291,648.742285219385,1669.17819427168,0.00064447
3025,0078081,1004,110010078081004,110010078081004,17015,0,67,67,0,67,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,28,24,4,4.20408672,551.531543827054,17013.3353279619,0.00656889
3026,0078081,1005,110010078081005,110010078081005,55783,0,411,408,0,398,0,0,0,10,3,1,1,0,6,0,397,0,0,0,5,3,1,1,0,213,0,203,0,0,0,7,3,1,1,0,2,0,203,0,0,0,5,3,1,1,0,128,109,19,13.78301027,1240.07156715708,55777.8636326888,0.02153595
3027,0078081,1006,110010078081006,110010078081006,8944,0,120,120,2,118,0,0,0,0,0,0,0,0,0,2,118,0,0,0,0,0,0,0,0,76,2,74,0,0,0,0,0,0,0,0,0,2,74,0,0,0,0,0,0,0,0,32,30,2,2.2098836,372.180735284499,8943.08163393131,0.00345294
3028,0078081,1007,110010078081007,110010078081007,19904,0,136,136,0,133,3,0,0,0,0,0,0,0,1,0,132,3,0,0,0,0,0,0,0,83,0,81,2,0,0,0,0,0,0,0,1,0,80,2,0,0,0,0,0,0,0,46,40,6,4.91784884,593.388897058835,19901.8281654426,0.00768414
3029,0078081,1008,110010078081008,110010078081008,17960,0,121,121,0,121,0,0,0,0,0,0,0,0,1,0,120,0,0,0,0,0,0,0,0,68,0,68,0,0,0,0,0,0,0,0,1,0,67,0,0,0,0,0,0,0,0,65,35,30,4.43754975,553.253031366219,17958.1266970244,0.00693367
3030,0078081,1009,110010078081009,110010078081009,23508,0,200,187,0,187,0,0,0,0,13,13,0,0,4,0,186,0,0,0,0,10,10,0,0,127,0,121,0,0,0,0,6,6,0,0,2,0,121,0,0,0,0,4,4,0,0,55,45,10,5.80831741,718.732648258267,23505.4266332917,0.0090755
3031,0078081,1010,110010078081010,110010078081010,19997,0,75,75,2,73,0,0,0,0,0,0,0,0,0,2,73,0,0,0,0,0,0,0,0,57,2,55,0,0,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,0,0,34,32,2,4.9407847,575.081438351408,19994.6462981795,0.00771998
3032,0078081,1011,110010078081011,110010078081011,18084,0,74,74,1,73,0,0,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,63,1,62,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,33,30,3,4.46830681,568.855296617648,18082.5961048686,0.00698173
3033,0078081,1012,110010078081012,110010078081012,16934,0,72,72,0,72,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,29,26,3,4.18407375,549.324787853048,16932.3457095985,0.00653762
3034,0078081,1013,110010078081013,110010078081013,16933,0,183,183,0,183,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,103,0,103,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,63,54,9,4.18392457,548.373567629367,16931.7420294618,0.00653738
3035,0078081,1014,110010078081014,110010078081014,18673,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,41,0,41,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,20,19,1,4.61362835,556.96985156424,18670.6915067747,0.00720879
3036,0078081,1015,110010078081015,110010078081015,30673,0,140,135,2,128,0,0,0,5,5,3,1,0,6,2,128,0,0,0,1,3,2,0,0,110,2,101,0,0,0,3,4,2,0,0,4,2,101,0,0,0,0,3,2,0,0,63,56,7,7.57861364,772.963194037857,30669.5612653024,0.01184158
3037,0078082,2000,110010078082000,110010078082000,19057,0,13,13,0,9,0,4,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,10,0,8,0,2,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,4,4,0,4.70869086,636.822869123958,19055.3958576185,0.00735733
3038,0078082,2001,110010078082001,110010078082001,17614,0,54,53,0,48,1,4,0,0,1,1,0,0,0,0,48,1,4,0,0,1,1,0,0,43,0,39,1,2,0,0,1,1,0,0,0,0,39,1,2,0,0,1,1,0,0,22,15,7,4.35197961,536.715784700925,17611.8366356067,0.00679997
3039,0078082,2002,110010078082002,110010078082002,17707,0,29,29,0,29,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,11,9,2,4.37499044,536.351984743557,17704.958162341,0.00683592
3040,0078082,2003,110010078082003,110010078082003,17495,0,28,28,0,28,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,16,10,6,4.32264069,527.818395433637,17493.1062442424,0.00675413
3041,0078082,2004,110010078082004,110010078082004,19924,0,57,56,0,56,0,0,0,0,1,1,0,0,0,0,56,0,0,0,0,1,1,0,0,48,0,47,0,0,0,0,1,1,0,0,0,0,47,0,0,0,0,1,1,0,0,31,29,2,4.92272785,571.091991422819,19921.572830432,0.00769176
